season,week,home_team,away_team,home_score,away_score,neutral,spread_line,total_line
1999,1,PHI,ARI,24,25,0,-3.0,37.0
1999,1,LA,BAL,27,10,0,0.0,39.0
1999,1,IND,BUF,31,14,0,-3.0,45.5
1999,1,NO,CAR,19,10,0,3.5,38.0
1999,1,TEN,CIN,36,35,0,9.0,42.0
1999,1,WAS,DAL,35,41,0,2.5,42.0
1999,1,SEA,DET,20,28,0,9.5,42.0
1999,1,CHI,KC,20,17,0,-3.0,38.0
1999,1,ATL,MIN,14,17,0,-4.0,49.0
1999,1,NYJ,NE,28,30,0,7.0,44.5
1999,1,TB,NYG,13,17,0,5.5,37.5
1999,1,GB,LV,28,24,0,9.0,43.0
1999,1,CLE,PIT,0,43,0,-6.0,37.0
1999,1,JAX,SF,41,3,0,5.5,49.0
1999,1,DEN,MIA,21,38,0,6.0,43.0
1999,2,MIA,ARI,19,16,0,9.0,41.0
1999,2,TEN,CLE,26,9,0,16.0,40.0
1999,2,KC,DEN,26,10,0,-3.5,40.5
1999,2,DET,GB,23,15,0,-6.5,43.0
1999,2,NE,IND,31,28,0,4.5,45.0
1999,2,CAR,JAX,20,22,0,-9.5,44.0
1999,2,SF,NO,28,21,0,11.0,42.5
1999,2,BUF,NYJ,17,3,0,4.0,42.0
1999,2,MIN,LV,17,22,0,11.0,47.5
1999,2,BAL,PIT,20,23,0,-2.5,38.0
1999,2,CIN,LAC,7,34,0,1.0,40.5
1999,2,CHI,SEA,13,14,0,-3.5,39.0
1999,2,PHI,TB,5,19,0,-6.5,36.5
1999,2,NYG,WAS,21,50,0,2.5,41.0
1999,2,DAL,ATL,24,7,0,6.5,42.0
1999,3,LA,ATL,35,7,0,-1.5,40.5
1999,3,LV,CHI,24,17,0,7.0,38.0
1999,3,CAR,CIN,27,3,0,7.0,39.5
1999,3,BAL,CLE,17,10,0,12.0,36.5
1999,3,TB,DEN,13,10,0,2.5,38.0
1999,3,KC,DET,31,21,0,3.5,39.5
1999,3,LAC,IND,19,27,0,-1.0,44.0
1999,3,GB,MIN,23,20,0,0.0,47.5
1999,3,NE,NYG,16,14,0,6.0,43.5
1999,3,BUF,PHI,26,0,0,11.5,38.0
1999,3,PIT,SEA,10,29,0,4.0,38.0
1999,3,JAX,TEN,19,20,0,9.5,45.0
1999,3,NYJ,WAS,20,27,0,-1.0,43.5
1999,3,ARI,SF,10,24,0,-2.5,45.5
1999,4,DAL,ARI,35,7,0,7.0,42.5
1999,4,ATL,BAL,13,19,0,2.5,36.5
1999,4,WAS,CAR,38,36,0,8.5,45.5
1999,4,PIT,JAX,3,17,0,-3.0,42.0
1999,4,LAC,KC,21,14,0,1.0,38.5
1999,4,CLE,NE,7,19,0,-12.0,38.0
1999,4,CHI,NO,14,10,0,-1.0,37.0
1999,4,DEN,NYJ,13,21,0,5.5,40.0
1999,4,SEA,LV,22,21,0,3.5,40.5
1999,4,NYG,PHI,16,15,0,9.5,35.5
1999,4,CIN,LA,10,38,0,-3.5,44.0
1999,4,MIN,TB,21,14,0,7.0,40.5
1999,4,SF,TEN,24,22,0,1.5,40.5
1999,4,MIA,BUF,18,23,0,4.5,40.5
1999,5,NO,ATL,17,20,0,3.0,35.5
1999,5,TEN,BAL,14,11,0,7.0,38.5
1999,5,MIN,CHI,22,24,0,13.0,43.5
1999,5,CLE,CIN,17,18,0,-3.0,36.0
1999,5,PHI,DAL,13,10,0,-9.5,37.0
1999,5,LV,DEN,13,16,0,7.0,38.0
1999,5,IND,MIA,31,34,0,-1.5,44.5
1999,5,KC,NE,16,14,0,2.5,41.0
1999,5,ARI,NYG,14,3,0,3.0,37.5
1999,5,BUF,PIT,24,21,0,6.5,38.0
1999,5,DET,LAC,10,20,0,3.5,40.0
1999,5,LA,SF,42,20,0,3.0,45.5
1999,5,GB,TB,26,23,0,6.0,40.5
1999,5,NYJ,JAX,6,16,0,-3.0,40.0
1999,6,SF,CAR,29,31,0,5.0,44.0
1999,6,JAX,CLE,24,7,0,17.5,37.5
1999,6,DEN,GB,31,10,0,-3.5,40.0
1999,6,NYJ,IND,13,16,0,-2.5,42.5
1999,6,NE,MIA,30,31,0,2.5,42.5
1999,6,DET,MIN,25,23,0,-3.5,45.0
1999,6,BUF,LV,14,20,0,3.5,40.5
1999,6,CHI,PHI,16,20,0,6.5,35.0
1999,6,CIN,PIT,3,17,0,-5.0,37.5
1999,6,LAC,SEA,13,10,0,-1.5,37.5
1999,6,ATL,LA,13,41,0,-6.0,45.0
1999,6,NO,TEN,21,24,0,-3.0,36.5
1999,6,ARI,WAS,10,24,0,-3.5,45.5
1999,6,NYG,DAL,13,10,0,-3.0,37.0
1999,7,BAL,KC,8,35,0,-1.0,36.0
1999,7,SEA,BUF,26,16,0,2.5,38.0
1999,7,TB,CHI,6,3,0,8.0,36.5
1999,7,IND,CIN,31,10,0,11.0,44.0
1999,7,LA,CLE,34,3,0,18.5,43.5
1999,7,NE,DEN,24,23,0,3.5,40.5
1999,7,CAR,DET,9,24,0,4.5,43.5
1999,7,LAC,GB,3,31,0,-3.0,37.5
1999,7,NYG,NO,31,3,0,3.0,34.0
1999,7,LV,NYJ,24,23,0,6.5,37.0
1999,7,MIA,PHI,16,13,0,9.0,34.0
1999,7,MIN,SF,40,16,0,7.0,48.5
1999,7,DAL,WAS,38,20,0,2.0,44.0
1999,7,PIT,ATL,13,9,0,5.5,37.0
1999,8,BAL,BUF,10,13,0,-3.5,36.5
1999,8,ATL,CAR,27,20,0,2.0,40.0
1999,8,WAS,CHI,48,22,0,8.5,44.0
1999,8,NO,CLE,16,21,0,9.5,33.5
1999,8,IND,DAL,34,24,0,3.0,46.0
1999,8,CIN,JAX,10,41,0,-12.5,38.0
1999,8,LV,MIA,9,16,0,3.0,37.0
1999,8,DEN,MIN,20,23,0,-2.5,45.0
1999,8,ARI,NE,3,27,0,-3.0,40.5
1999,8,PHI,NYG,17,23,0,-2.5,33.5
1999,8,KC,LAC,34,0,0,6.0,35.0
1999,8,TEN,LA,24,21,0,-3.0,44.5
1999,8,DET,TB,20,3,0,-2.5,35.0
1999,8,GB,SEA,7,27,0,5.5,42.5
1999,9,NYJ,ARI,12,7,0,7.0,35.0
1999,9,CLE,BAL,9,41,0,-3.5,32.5
1999,9,WAS,BUF,17,34,0,4.0,47.0
1999,9,GB,CHI,13,14,0,9.0,40.5
1999,9,SEA,CIN,37,20,0,14.0,40.0
1999,9,LAC,DEN,17,33,0,0.0,35.5
1999,9,ATL,JAX,7,30,0,-6.0,41.0
1999,9,IND,KC,25,17,0,4.0,45.0
1999,9,CAR,PHI,33,7,0,5.0,36.0
1999,9,SF,PIT,6,27,0,2.5,41.5
1999,9,DET,LA,31,27,0,-4.0,45.0
1999,9,NO,TB,16,31,0,-3.5,33.5
1999,9,MIA,TEN,17,0,0,3.0,37.0
1999,9,MIN,DAL,27,17,0,6.5,47.5
1999,10,JAX,BAL,6,3,0,13.0,37.0
1999,10,LA,CAR,35,10,0,10.0,48.0
1999,10,PIT,CLE,15,16,0,14.5,34.5
1999,10,SEA,DEN,20,17,0,5.5,41.0
1999,10,ARI,DET,23,19,0,-5.5,35.5
1999,10,DAL,GB,27,13,0,-3.0,38.0
1999,10,NYG,IND,19,27,0,-3.0,41.5
1999,10,TB,KC,17,10,0,3.0,34.5
